DOR Code,Municipality,Year,Single Family Values,Single Family Parcels,Average Single Family Value ,Single Family Tax Bill*,Rank**
026,Belmont,2013,3509384000.00 ,4516.00 ,777100.00 ,10359.00 ,13
026,Belmont,2014,3528255000.00 ,4508.00 ,782665.00 ,10566.00 ,13
026,Belmont,2015,3824155000.00 ,4510.00 ,847928.00 ,10938.00 ,13
026,Belmont,2016,4190861000.00 ,4516.00 ,928003.00 ,11656.00 ,12
026,Belmont,2017,4255486000.00 ,4519.00 ,941688.00 ,11950.00 ,
027,Berkley,2009,723867200.00 ,1965.00 ,368380.00 ,3083.00 ,235
027,Berkley,2010,699245900.00 ,1976.00 ,353869.00 ,3093.00 ,247
027,Berkley,2011,665411000.00 ,1984.00 ,335389.00 ,3693.00 ,179
027,Berkley,2012,635165800.00 ,1997.00 ,318060.00 ,3689.00 ,191
027,Berkley,2013,638309500.00 ,2006.00 ,318200.00 ,3717.00 ,202
027,Berkley,2014,619554200.00 ,2011.00 ,308083.00 ,3947.00 ,195
027,Berkley,2015,612284400.00 ,2036.00 ,300729.00 ,4183.00 ,183
027,Berkley,2016,624648600.00 ,2045.00 ,305452.00 ,4533.00 ,170
027,Berkley,2017,675109400.00 ,2055.00 ,328520.00 ,4698.00 ,
028,Berlin,2009,343354921.00 ,779.00 ,440764.00 ,5139.00 ,67
028,Berlin,2010,300614100.00 ,784.00 ,383436.00 ,5127.00 ,74
028,Berlin,2011,302477144.00 ,785.00 ,385321.00 ,5352.00 ,74
028,Berlin,2012,304036714.00 ,788.00 ,385833.00 ,5583.00 ,73
028,Berlin,2013,263956100.00 ,731.00 ,361089.00 ,5554.00 ,81
028,Berlin,2014,254196434.00 ,738.00 ,344440.00 ,5742.00 ,83
028,Berlin,2015,260648600.00 ,751.00 ,347069.00 ,5584.00 ,95
028,Berlin,2016,274946069.00 ,756.00 ,363685.00 ,5775.00 ,97
028,Berlin,2017,306804569.00 ,764.00 ,401577.00 ,6365.00 ,
029,Bernardston,2009,163875800.00 ,733.00 ,223569.00 ,3354.00 ,189
029,Bernardston,2010,157223700.00 ,731.00 ,215080.00 ,3327.00 ,213
029,Bernardston,2011,158542300.00 ,734.00 ,215998.00 ,3419.00 ,220
029,Bernardston,2012,159513300.00 ,737.00 ,216436.00 ,3480.00 ,227
029,Bernardston,2013,152082900.00 ,741.00 ,205240.00 ,3458.00 ,239
029,Bernardston,2014,152008500.00 ,740.00 ,205417.00 ,3591.00 ,234
029,Bernardston,2015,152222000.00 ,739.00 ,205984.00 ,3827.00 ,222
029,Bernardston,2016,150495400.00 ,740.00 ,203372.00 ,3958.00 ,219
029,Bernardston,2017,150595800.00 ,738.00 ,204059.00 ,4036.00 ,
