JURISDICTIONCODE,NAME,YEAR,RESIDENTIAL,OPENSPACE,COMMERCIAL,INDUSTRIAL,PERSONALPROP,TOTAL,RO,CIP
021,Barre,2015,"6,144,685",0,"464,961","134,158","452,333","7,196,137",85.39,14.61
021,Barre,2016,"5,985,423",0,"436,464","152,299","554,356","7,128,542",83.96,16.04
022,Becket,2009,"3,899,017",0,"150,858","11,323","145,619","4,206,817",92.68,7.32
022,Becket,2010,"4,078,030",0,"150,352","9,511","150,410","4,388,303",92.93,7.07
022,Becket,2011,"4,341,057",0,"166,087","10,280","163,930","4,681,354",92.73,7.27
022,Becket,2012,"4,559,761",0,"177,605","11,019","197,000","4,945,385",92.20,7.80
022,Becket,2013,"4,603,387",0,"183,968","11,171","239,252","5,037,778",91.38,8.62
022,Becket,2014,"4,696,755",0,"197,195","11,661","286,462","5,192,073",90.46,9.54
022,Becket,2015,"4,724,224",0,"200,357","11,673","292,122","5,228,376",90.36,9.64
022,Becket,2016,"4,749,019",0,"199,425","11,684","291,094","5,251,222",90.44,9.56
023,Bedford,2009,"26,707,083","45,756","10,942,515","6,260,440","2,063,060","46,018,854",58.13,41.87
023,Bedford,2010,"27,669,541","47,460","8,004,606","8,675,486","2,079,100","46,476,193",59.64,40.36
023,Bedford,2011,"30,725,700","44,035","7,799,416","8,479,971","2,898,038","49,947,160",61.60,38.40
023,Bedford,2012,"33,090,394","27,239","7,927,371","8,449,361","2,806,547","52,300,912",63.32,36.68
023,Bedford,2013,"33,442,243","26,399","8,170,730","8,984,517","2,913,740","53,537,629",62.51,37.49
023,Bedford,2014,"35,772,515","19,503","8,120,158","9,115,269","2,675,002","55,702,447",64.26,35.74
023,Bedford,2015,"36,274,379","16,454","8,410,429","9,626,267","3,626,326","57,953,855",62.62,37.38
023,Bedford,2016,"38,432,016","17,251","8,845,843","10,102,234","3,765,078","61,162,422",62.86,37.14
024,Belchertown,2009,"18,406,393",0,"902,967","177,879","354,678","19,841,917",92.77,7.23
024,Belchertown,2010,"18,934,101",0,"979,708","182,393","374,148","20,470,350",92.50,7.50
024,Belchertown,2011,"19,554,146",0,"1,028,940","183,228","390,521","21,156,835",92.42,7.58
024,Belchertown,2012,"20,137,364",0,"1,049,164","193,403","473,828","21,853,759",92.15,7.85
024,Belchertown,2013,"20,777,288",0,"1,095,068","201,766","477,359","22,551,481",92.13,7.87
024,Belchertown,2014,"21,510,021",0,"1,130,027","210,092","472,961","23,323,101",92.23,7.77
024,Belchertown,2015,"22,249,619",0,"1,137,948","210,600","493,595","24,091,762",92.35,7.65
024,Belchertown,2016,"22,768,279",0,"1,144,489","206,619","498,176","24,617,563",92.49,7.51
025,Bellingham,2009,"18,203,067",0,"3,480,357","1,728,452","4,776,704","28,188,580",64.58,35.42
025,Bellingham,2010,"18,849,244",0,"3,545,194","1,966,607","4,963,756","29,324,801",64.28,35.72
025,Bellingham,2011,"19,866,859",0,"3,388,212","1,844,517","5,345,712","30,445,300",65.25,34.75
